"exp","condition","SPE","targetSP","ID","fixationReject","button","ring","whichStreamCuedAngle"
"main","6",0,6,"18WN",FALSE,0,1,30
"main","2",0,10,"18WN",FALSE,0,2,60
"main","2",0,10,"18WN",FALSE,0,0,180
"main","2",5,8,"18WN",FALSE,0,2,0
"main","18",0,6,"18WN",FALSE,0,0,60
"main","6",-1,10,"18WN",FALSE,0,1,210
"main","18",3,10,"18WN",FALSE,0,2,60
"main","18",1,7,"18WN",FALSE,0,1,270
"main","2",0,6,"18WN",TRUE,0,0,180
"main","6",0,7,"18WN",FALSE,0,2,60
"main","18",1,7,"18WN",FALSE,0,2,180
"main","18",1,9,"18WN",FALSE,0,2,180
"main","18",3,6,"18WN",FALSE,0,1,330
"main","18",0,9,"18WN",FALSE,0,1,30
"main","6",0,6,"18WN",FALSE,0,0,180
"main","18",1,6,"18WN",FALSE,0,2,60
"main","6",-1,6,"18WN",FALSE,0,2,240
"main","2",-1,6,"18WN",FALSE,0,0,60
"main","6",0,7,"18WN",FALSE,0,1,270
"main","2",-2,7,"18WN",FALSE,0,2,180
"main","2",7,6,"18WN",FALSE,0,2,120
"main","6",1,8,"18WN",FALSE,0,2,120
"main","6",0,8,"18WN",FALSE,0,0,0
"main","2",-1,9,"18WN",FALSE,0,2,240
"main","18",0,6,"18WN",FALSE,0,0,120
"main","2",-1,9,"18WN",FALSE,0,1,30
"main","18",2,6,"18WN",FALSE,0,2,300
"main","6",2,7,"18WN",FALSE,0,2,120
"main","2",-1,6,"18WN",FALSE,0,0,240
"main","18",1,8,"18WN",FALSE,0,1,270
"main","2",0,6,"18WN",FALSE,0,2,180
"main","18",1,8,"18WN",FALSE,0,0,240
"main","18",1,8,"18WN",FALSE,0,1,330
"main","18",0,7,"18WN",FALSE,0,0,240
"main","18",-6,7,"18WN",FALSE,0,0,60
"main","18",0,9,"18WN",FALSE,0,2,0
"main","2",-5,8,"18WN",FALSE,0,1,150
"main","2",1,10,"18WN",FALSE,0,0,0
"main","2",1,6,"18WN",FALSE,0,1,270
"main","2",-3,9,"18WN",FALSE,0,2,120
"main","18",0,10,"18WN",FALSE,0,1,330
"main","6",1,9,"18WN",FALSE,0,2,180
"main","2",0,10,"18WN",FALSE,0,2,180
"main","6",-4,9,"18WN",FALSE,0,2,300
"main","6",1,7,"18WN",FALSE,0,0,240
"main","6",1,9,"18WN",FALSE,0,2,240
"main","18",0,8,"18WN",FALSE,0,0,60
"main","6",1,10,"18WN",FALSE,0,2,120
"main","6",1,6,"18WN",FALSE,0,0,240
"main","6",1,8,"18WN",TRUE,0,1,90
"main","18",1,9,"18WN",FALSE,0,0,60
"main","18",5,8,"18WN",FALSE,0,0,120
"main","6",1,9,"18WN",FALSE,0,0,240
"main","6",1,8,"18WN",FALSE,0,2,180
"main","2",0,10,"18WN",FALSE,0,1,150
"main","2",-3,10,"18WN",FALSE,0,2,300
"main","18",0,9,"18WN",FALSE,0,1,210
"main","2",0,7,"18WN",FALSE,0,0,240
"main","6",1,7,"18WN",FALSE,0,0,180
"main","2",-2,8,"18WN",FALSE,0,0,120
"main","18",2,6,"18WN",FALSE,0,0,240
"main","6",1,9,"18WN",TRUE,0,1,30
"main","6",1,6,"18WN",TRUE,0,2,180
"main","18",1,6,"18WN",FALSE,0,1,210
"main","18",0,10,"18WN",FALSE,0,2,180
"main","6",2,8,"18WN",FALSE,0,2,240
"main","18",2,7,"18WN",FALSE,0,2,60
"main","18",3,6,"18WN",FALSE,0,2,240
"main","18",1,9,"18WN",FALSE,0,0,120
"main","2",-1,7,"18WN",FALSE,0,0,120
"main","6",-2,6,"18WN",FALSE,0,2,120
"main","2",0,7,"18WN",FALSE,0,1,210
"main","6",1,6,"18WN",FALSE,0,0,300
"main","18",0,10,"18WN",FALSE,0,1,210
"main","2",-4,10,"18WN",FALSE,0,2,120
"main","6",1,8,"18WN",FALSE,0,0,60
"main","6",1,6,"18WN",TRUE,0,0,60
"main","18",1,9,"18WN",FALSE,0,0,180
"main","18",2,10,"18WN",FALSE,0,1,90
"main","18",4,6,"18WN",FALSE,0,1,30
"main","2",4,9,"18WN",FALSE,0,2,60
"main","18",0,9,"18WN",FALSE,0,2,120
"main","6",1,10,"18WN",FALSE,0,1,150
"main","18",1,10,"18WN",FALSE,0,0,240
"main","6",0,10,"18WN",FALSE,0,2,240
"main","6",0,10,"18WN",FALSE,0,0,60
"main","18",2,7,"18WN",FALSE,0,2,120
"main","18",0,7,"18WN",FALSE,0,0,0
"main","6",1,9,"18WN",FALSE,0,1,330
"main","6",0,8,"18WN",FALSE,0,1,30
"main","18",0,10,"18WN",FALSE,0,0,0
"main","18",3,7,"18WN",FALSE,0,1,90
"main","6",0,9,"18WN",FALSE,0,0,180
"main","2",-1,7,"18WN",FALSE,0,1,330
"main","2",0,10,"18WN",FALSE,0,2,0
"main","2",-1,7,"18WN",FALSE,0,2,300
"main","2",0,8,"18WN",FALSE,0,0,60
"main","2",-1,8,"18WN",FALSE,0,1,210
"main","6",1,9,"18WN",FALSE,0,1,90
"main","2",-3,9,"18WN",FALSE,0,1,330
"main","18",1,6,"18WN",FALSE,0,0,0
"main","18",8,6,"18WN",FALSE,0,2,120
"main","6",0,8,"18WN",FALSE,0,1,270
"main","2",3,8,"18WN",FALSE,0,2,120
"main","18",0,8,"18WN",FALSE,0,1,150
"main","6",-2,6,"18WN",FALSE,0,1,90
"main","6",1,7,"18WN",FALSE,0,1,150
"main","2",1,10,"18WN",FALSE,0,1,270
"main","6",0,8,"18WN",FALSE,0,0,180
"main","18",5,10,"18WN",FALSE,0,2,300
"main","2",0,9,"18WN",FALSE,0,1,150
"main","6",1,10,"18WN",FALSE,0,2,180
"main","2",1,8,"18WN",FALSE,0,0,0
"main","2",0,6,"18WN",FALSE,0,0,0
"main","2",0,6,"18WN",FALSE,0,2,60
"main","2",1,7,"18WN",FALSE,0,2,60
"main","2",-4,7,"18WN",TRUE,0,2,240
"main","2",-3,9,"18WN",FALSE,0,2,300
"main","18",1,10,"18WN",FALSE,0,0,300
"main","2",-1,9,"18WN",FALSE,0,1,90
"main","6",3,7,"18WN",FALSE,0,1,330
"main","2",0,9,"18WN",FALSE,0,1,210
"main","18",1,7,"18WN",FALSE,0,2,0
"main","2",0,7,"18WN",FALSE,0,1,150
"main","18",0,7,"18WN",TRUE,0,0,180
"main","6",0,7,"18WN",FALSE,0,1,30
"main","18",1,6,"18WN",FALSE,0,2,180
"main","6",0,6,"18WN",FALSE,0,1,150
"main","2",0,10,"18WN",FALSE,0,0,120
"main","2",0,8,"18WN",FALSE,0,2,240
"main","18",2,8,"18WN",FALSE,0,2,120
"main","6",1,9,"18WN",FALSE,0,2,0
"main","6",-4,10,"18WN",FALSE,0,1,330
"main","18",2,8,"18WN",FALSE,0,0,0
"main","18",1,10,"18WN",FALSE,0,1,270
"main","6",2,6,"18WN",FALSE,0,2,0
"main","2",-3,6,"18WN",FALSE,0,1,150
"main","6",1,7,"18WN",FALSE,0,2,0
"main","6",1,8,"18WN",FALSE,0,1,210
"main","2",0,10,"18WN",FALSE,0,1,90
